HHNR;Wegnummer;Distanz_km;Emissionen;Verkehrsmittel
111824;2;2.5;0.0;Zu Fuss
111826;1;146.766;31581.87137904043;Auto
111836;1;1.0;0.0;Zu Fuss
111837;1;7.474;1858.4303262359617;Auto
111856;1;1.0;0.0;Zu Fuss
111862;1;1.5;0.0;Zu Fuss
111863;4;0.5;0.0;Zu Fuss
111863;5;0.233;0.0;Zu Fuss
111874;1;2.545;0.0;Zu Fuss
111881;1;7.45;1603.1297560323999;Auto
111885;5;2.125;11.85756672925;Velo
111892;5;0.651;29.771167479710996;Fahrzeugähnliche Geräte
111895;5;1.466;214.04094442395697;Anderes
111896;3;4.167;1036.1358267895707;Auto
111901;1;2.447;0.0;Zu Fuss
111902;1;9.492;2360.211487373796;Auto
111909;1;4.265;48.30477145984499;E-Bike_25
111915;1;4.791;642.8055161568601;Bus
111924;5;1.696;0.0;Zu Fuss
111928;1;2.19;0.0;Zu Fuss
111937;1;2.0;0.0;Zu Fuss
111937;2;2.0;0.0;Zu Fuss
111947;3;2.638;0.0;Zu Fuss
111954;1;2.0;0.0;Zu Fuss
111954;2;5.169;1443.5951069082475;Auto
111957;1;4.86;0.0;Zu Fuss
111959;3;2.441;606.9612558659329;Auto
111966;1;0.634;28.993732998673995;Fahrzeugähnliche Geräte
111969;1;5.29;0.0;Zu Fuss
111988;3;7.818;0.0;Zu Fuss
112007;1;0.606;0.0;Zu Fuss
112007;7;0.606;145.773736439382;Auto
112007;9;0.5;0.0;Zu Fuss
112007;10;0.5;0.0;Zu Fuss
112013;2;57.739;12010.21191632945;Auto
112025;1;0.957;146.43664948413598;Auto
112025;3;0.357;54.62683789533599;Auto
112046;2;25.186;7033.93042418091;Auto
112048;1;16.326;0.0;Zu Fuss
112059;2;0.39;0.0;Zu Fuss
112067;1;3.708;0.0;Zu Fuss
112073;3;0.5;0.0;Zu Fuss
112076;1;6.136;0.0;Zu Fuss
112082;6;31.751;6832.3453535281515;Auto
112089;1;85.992;20685.43753118042;Auto
112098;2;0.91;135.37216679168;Auto
112104;3;0.465;0.0;Zu Fuss
112129;4;1.504;0.0;Zu Fuss
112131;1;5.549;0.0;Zu Fuss
112181;1;1.5;0.0;Zu Fuss
112209;3;1.0;0.0;Zu Fuss
112214;3;1.626;0.0;Zu Fuss
112215;5;2.27;0.0;Zu Fuss
112223;1;3.626;0.0;Zu Fuss
112223;2;1.19;0.0;Zu Fuss
112224;1;37.507;9326.21705193099;Auto
112237;3;0.599;0.0;Zu Fuss
112247;3;0.948;43.353405177827995;Fahrzeugähnliche Geräte
112267;1;2.887;373.439670465889;Auto
112267;3;4.0;0.0;Zu Fuss
112279;1;3.816;0.0;Zu Fuss
112281;5;0.066;0.0;Zu Fuss
112288;1;0.728;0.0;Zu Fuss
112288;2;2.638;0.0;Zu Fuss
112288;3;2.0;0.0;Zu Fuss
112294;1;7.27;0.0;Zu Fuss
112294;2;2.084;0.0;Zu Fuss
112305;3;1.88;338.27575005176;Auto
112309;1;2.75;0.0;Zu Fuss
112309;4;0.927;0.0;Zu Fuss
112309;7;3.334;0.0;Zu Fuss
112312;5;0.812;0.0;Zu Fuss
112324;1;0.868;0.0;Zu Fuss
112324;2;0.868;0.0;Zu Fuss
112336;1;8.856;2473.2981750395516;Auto
112336;4;1.676;0.0;Zu Fuss
112352;7;1.0;0.0;Zu Fuss
112359;3;3.38;0.0;Zu Fuss
112361;1;6.304;815.435982894688;Auto
112367;1;0.733;0.0;Zu Fuss
112376;3;0.474;0.0;Zu Fuss
112385;1;9.014;0.0;Zu Fuss
112387;3;10.129;2402.727409462737;Auto
112388;3;0.7;0.0;Zu Fuss
112391;4;1.0;0.0;Zu Fuss
112405;2;3.153;784.0019826895889;Auto
112405;4;5.852;0.0;Zu Fuss
112418;1;2.0;0.0;Zu Fuss
112427;4;1.971;0.0;Zu Fuss
112428;1;0.3;0.0;Zu Fuss
112433;1;8.463;2104.3478526806184;Auto
112436;1;2.236;0.0;Zu Fuss
112446;1;7.428;1545.088313176452;Auto
112446;6;7.428;1545.088313176452;Auto
112452;1;0.8;0.0;Zu Fuss
112463;1;5.708;0.0;Zu Fuss
112466;3;1.956;0.0;Zu Fuss, Zu Fuss
112468;1;74.931;16124.042382451511;Auto
112481;1;37.612;3406.747159922412;Auto
112481;2;1.153;104.434209172353;Auto
112481;4;1.08;97.82215603308;Auto
112483;1;0.589;0.0;Zu Fuss
112489;1;1.605;0.0;Zu Fuss
112496;3;5.724;0.0;Zu Fuss
112501;3;2.0;11.160062803999999;Velo
112503;5;2.0;0.0;Zu Fuss
112504;1;4.088;0.0;Zu Fuss
112504;2;51.661;9295.565703948922;Auto
112505;1;0.244;0.0;Zu Fuss
112515;6;15.253;2333.958426939944;Auto
112519;3;22.247;0.0;Zu Fuss, Zu Fuss, Zu Fuss
112521;1;33.297;3789.687069420681;Auto
112538;3;133.578;28444.396080491406;Auto
112546;1;21.907;5447.23483500819;Auto
112549;1;0.858;0.0;Zu Fuss
112557;3;5.986000000000001;0.0;Zu Fuss, Zu Fuss, Zu Fuss
112558;1;6.62;0.0;Zu Fuss
112565;1;68.263;16420.71381280781;Auto
112565;3;0.807;0.0;Zu Fuss
112567;3;2.0;0.0;Zu Fuss
112568;5;1.212;6.7629980592239995;Velo
112577;1;5.0;0.0;Zu Fuss
112578;3;1.0;0.0;Zu Fuss
112583;1;2.976;0.0;Zu Fuss
112583;2;6.736;1401.1463216958239;Auto
112596;1;1.0;0.0;Zu Fuss
112596;2;1.0;0.0;Zu Fuss
112599;6;4.354;0.0;Zu Fuss
112604;1;2.0;0.0;Zu Fuss
112608;1;2.765;522.374778291485;Auto
112623;1;0.5;0.0;Zu Fuss
112643;1;2.0;0.0;Zu Fuss
112643;2;2.0;0.0;Zu Fuss
112655;1;8.577;97.14185810342099;E-Bike_25
112678;4;0.996;0.0;Zu Fuss
112685;4;2.196;12.253748958792;Velo
112694;5;0.6;0.0;Zu Fuss
112702;3;0.433;0.0;Zu Fuss
112708;5;2.865;712.390003300245;Auto
112716;2;17.033;4756.965652150936;Auto
112716;4;6.36;0.0;Zu Fuss
112716;5;0.088;0.0;Zu Fuss
112718;2;0.405;0.0;Zu Fuss
112734;2;3.879;0.0;Zu Fuss
112739;1;2.162;0.0;Zu Fuss
112751;3;10.0;457.31440060999995;Fahrzeugähnliche Geräte
112752;2;2.5;0.0;Zu Fuss
112763;1;0.784;0.0;Zu Fuss
112763;3;2.086;0.0;Zu Fuss
112771;1;0.858;0.0;Zu Fuss
112776;1;0.287;0.0;Zu Fuss
112776;3;0.517;0.0;Zu Fuss
112776;6;12.796;1710.502828938848;Auto
112786;3;7.096;0.0;Zu Fuss
112792;1;18.849;2527.785345148203;Mofa
112803;3;1.0;0.0;Zu Fuss
112805;2;9.78;0.0;Zu Fuss
112817;3;2.0;0.0;Zu Fuss
112824;1;4.122;0.0;Zu Fuss
112829;2;6.826;1044.4896231752477;Auto
112829;5;3.111;476.033873087928;Auto
112839;1;4.0;0.0;Zu Fuss
112839;2;7.485;41.766535043969995;Velo
112841;1;2.192;0.0;Zu Fuss
